product_id,product_name,brand,category,price,rating,review_count,color,size,material
100001,Uniqlo green dress,Uniqlo,Women-Dress,444.39,3.9,4360,Green,M,Denim
100002,Boohoo red jewelry,Boohoo,Women-Jewelry,42.07,5.0,3991,Red,XL,Linen
100003,Bershka green bag,Bershka,Women-Bag,363.9,3.8,790,Green,XXL,Cotton
100004,Tommy Hilfiger white dress,Tommy Hilfiger,Women-Dress,296.76,4.3,457,White,XS,Leather
100005,Puma yellow shirt,Puma,Men-Shirt,215.16,3.2,3835,Yellow,XS,Polyester
100006,Uniqlo black shoes,Uniqlo,Men-Shoes,363.61,4.6,3899,Black,S,Leather
100007,ASOS brown shoes,ASOS,Women-Shoes,426.7,4.6,4485,Brown,S,Silk
100008,Tommy Hilfiger black jeans,Tommy Hilfiger,Men-Jeans,388.45,4.2,1876,Black,XL,Spandex
100009,Tommy Hilfiger green watch,Tommy Hilfiger,Men-Watch,304.54,3.2,3452,Green,S,Linen
100010,H&M brown watch,H&M,Men-Watch,90.14,3.3,2490,Brown,XL,Polyester
100011,Puma black dress,Puma,Women-Dress,57.37,4.5,2481,Black,L,Denim
100012,Zara black skirt,Zara,Women-Skirt,175.43,3.5,1339,Black,XXL,Cotton
100013,Adidas blue bag,Adidas,Women-Bag,179.74,4.1,3051,Blue,XS,Wool
100014,Ralph Lauren yellow skirt,Ralph Lauren,Women-Skirt,235.45,3.3,834,Yellow,XXL,Silk
100015,Louis Vuitton blue suit,Louis Vuitton,Men-Suit,162.12,3.7,2198,Blue,XL,Silk
100016,Adidas white top,Adidas,Women-Top,230.73,4.5,3603,White,M,Spandex
100017,Nike gray jacket,Nike,Women-Jacket,497.76,3.5,1901,Gray,XL,Spandex
100018,Ralph Lauren purple jeans,Ralph Lauren,Men-Jeans,203.55,3.9,2384,Purple,XS,Denim
100019,Ralph Lauren green shoes,Ralph Lauren,Women-Shoes,181.03,4.5,598,Green,XS,Silk
100020,Forever 21 brown t,Forever 21,Men-T-Shirt,239.84,4.8,3093,Brown,XXL,Spandex
100021,Calvin Klein blue shirt,Calvin Klein,Men-Shirt,359.83,4.9,3442,Blue,M,Wool
100022,Mango red skirt,Mango,Women-Skirt,435.83,3.6,2722,Red,XXL,Cotton
100023,Bershka purple shoes,Bershka,Men-Shoes,190.18,3.4,1682,Purple,XL,Leather
100024,Bershka yellow watch,Bershka,Men-Watch,381.8,4.7,394,Yellow,XS,Spandex
100025,ASOS white jeans,ASOS,Men-Jeans,31.64,3.1,3626,White,XL,Spandex
100026,Ralph Lauren green dress,Ralph Lauren,Women-Dress,299.91,4.4,1991,Green,S,Wool
100027,Boohoo brown jeans,Boohoo,Men-Jeans,424.56,4.6,1667,Brown,XL,Polyester
100028,Zara brown jeans,Zara,Men-Jeans,98.6,3.9,4242,Brown,XS,Cotton
100029,Gucci purple suit,Gucci,Men-Suit,304.87,4.8,440,Purple,M,Polyester
100030,ASOS brown t,ASOS,Men-T-Shirt,480.9,3.5,4861,Brown,S,Leather
100031,Uniqlo black shoes,Uniqlo,Men-Shoes,79.1,4.6,2032,Black,M,Linen
100032,Levi's black top,Levi's,Women-Top,434.75,4.5,3456,Black,M,Polyester
100033,Uniqlo black shoes,Uniqlo,Men-Shoes,369.24,4.6,2052,Black,L,Leather
100034,Gap yellow jeans,Gap,Men-Jeans,167.17,3.6,2233,Yellow,M,Leather
